%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_east,field.utm_north,field.latitude_std,field.longitude_std,field.altitude_std,field.north_velocity,field.east_velocity,field.up_velocity,field.north_velocity_std,field.east_velocity_std,field.up_velocity_std,field.roll,field.pitch,field.yaw,field.x,field.y,field.z,field.w,field.roll_std,field.pitch_std,field.yaw_std,field.roll_rate,field.pitch_rate,field.yaw_rate,field.ax,field.ay,field.az,field.init_position,field.init_velocity,field.init_pitchroll,field.init_yaw,field.gps_status,field.gps_satellitenum,field.wheelspeed_status,field.temperature
1561680851534439119,117092,1561680851534310714,gps,38.9796902,117.7858913,4.78800010681,568071.606601,4314816.46578,0.025476468727,0.0265161804855,0.0533970333636,-1.74865722656,-1.40991210938,-0.0213623046875,0.0350843556225,0.0343896411359,0.0305008720607,-0.46142578125,-0.10986328125,-137.867431641,-0.00234203706638,0.00341295071848,-0.93315860764,0.359441065568,0.170332998037,0.179066136479,0.186373978853,0.100708007812,1.19934082031,0.0640869140625,-0.221557617188,-0.052734375,0.993896484375,1,1,1,1,50,28,1,46.1975097656
1561680851554636963,117093,1561680851554495129,gps,38.9796898,117.7858911,4.78700017929,568071.589661,4314816.42124,0.025476468727,0.0265161804855,0.0533970333636,-1.76391601562,-1.4404296875,-0.152587890625,0.0350843556225,0.0343896411359,0.0305008720607,-0.472412109375,-0.054931640625,-137.878417969,-0.00192881967752,0.00367490902529,-0.933192344299,0.359353340377,0.170332998037,0.179066136479,0.186373978853,0.0,3.63464355469,-0.320434570312,-0.117553710938,0.119384765625,0.892822265625,1,1,1,1,50,29,1,46.1975097656
1561680851574618246,117094,1561680851574482292,gps,38.9796895,117.7858907,4.78399991989,568071.555301,4314816.38765,0.025476468727,0.0265161804855,0.0533970333636,-1.70593261719,-1.50451660156,-0.201416015625,0.0350843556225,0.0343896411359,0.0305008720607,-0.472412109375,0.0,-137.889404297,-0.00148110782662,0.00384731523175,-0.933226189808,0.359265755592,0.170332998037,0.179066136479,0.186373978853,-0.265502929688,4.06494140625,-1.30920410156,0.0003662109375,0.154907226562,0.912963867188,1,1,1,1,50,29,1,46.1975097656
1561680851594300988,117095,1561680851594162615,gps,38.9796892,117.7858904,4.78000020981,568071.529602,4314816.35414,0.025476468727,0.0265161804855,0.0533970333636,-1.68151855469,-1.55944824219,-0.213623046875,0.0350843556225,0.0343896411359,0.0305008720607,-0.4833984375,0.076904296875,-137.933349609,-0.000887646098084,0.00417823607897,-0.933362298381,0.358910259521,0.170332998037,0.179066136479,0.186373978853,-0.29296875,3.7353515625,-2.07824707031,0.158935546875,-0.02783203125,0.914794921875,1,1,1,1,50,29,1,46.1975097656
1561680851614998024,117096,1561680851614821561,gps,38.9796889,117.78589,4.77699995041,568071.495242,4314816.32054,0.025476468727,0.0265161804855,0.0533970333636,-1.66931152344,-1.5380859375,-0.10986328125,0.0350843556225,0.0343896411359,0.0305008720607,-0.4833984375,0.142822265625,-137.977294922,-0.000349053339722,0.00438482705993,-0.933498485199,0.358554360711,0.170332998037,0.179066136479,0.186373978853,-0.357055664062,1.70288085938,-2.16979980469,0.0999755859375,-0.068115234375,1.02648925781,1,1,1,1,50,29,1,46.1975097656
1561680851634223096,117097,1561680851634066958,gps,38.9796886,117.7858897,4.77600002289,568071.469544,4314816.28703,0.025476468727,0.0265161804855,0.0533970333636,-1.66625976562,-1.51977539062,-0.03662109375,0.0350843556225,0.0343896411359,0.0305008720607,-0.494384765625,0.15380859375,-138.010253906,-0.000292634119143,0.00450878442264,-0.933600885754,0.358286158465,0.170332998037,0.179066136479,0.186373978853,-1.01623535156,0.704956054688,-1.84936523438,-0.046875,-0.0340576171875,1.14733886719,1,1,1,1,50,29,1,46.1975097656
1561680851654706890,117098,1561680851654513957,gps,38.9796883,117.7858893,4.77699995041,568071.435184,4314816.25344,0.025476468727,0.0265161804855,0.0533970333636,-1.65405273438,-1.45874023438,0.0762939453125,0.0350843556225,0.0343896411359,0.0305008720607,-0.50537109375,0.142822265625,-138.054199219,-0.000414742319219,0.00456410243921,-0.933738048749,0.357927720742,0.170332998037,0.179066136479,0.186373978853,-0.796508789062,-0.979614257812,-1.42822265625,-0.08349609375,-0.0303955078125,1.12353515625,1,1,1,1,50,29,1,46.1975097656
1561680851675017178,117099,1561680851674879673,gps,38.979688,117.785889,4.77899980545,568071.409486,4314816.21992,0.025476468727,0.0265161804855,0.0533970333636,-1.66625976562,-1.43737792969,0.067138671875,0.0350843556225,0.0343896411359,0.0305008720607,-0.516357421875,0.1318359375,-138.076171875,-0.000537693811602,0.00461941171648,-0.93380648333,0.357748268494,0.170332998037,0.179066136479,0.186373978853,-0.338745117188,-0.567626953125,-1.21765136719,-0.0615234375,0.0582275390625,1.01220703125,1,1,1,1,50,29,1,46.1975097656
1561680851694893663,117100,1561680851694734414,gps,38.9796877,117.7858887,4.78000020981,568071.383788,4314816.18641,0.025476468727,0.0262523405254,0.0523397028446,-1.66625976562,-1.46179199219,-0.0,0.0350843556225,0.0343896411359,0.0305008720607,-0.52734375,0.1318359375,-138.098144531,-0.000571089556445,0.00470904886205,-0.933874616352,0.357569153659,0.170332998037,0.179066136479,0.186373978853,-0.595092773438,0.540161132812,-1.19934082031,-0.0384521484375,0.099609375,0.929809570312,1,1,1,1,50,29,1,46.1975097656
1561680851714881812,117101,1561680851714697125,gps,38.9796874,117.7858883,4.77899980545,568071.349428,4314816.15281,0.025476468727,0.0262523405254,0.0523397028446,-1.64489746094,-1.48620605469,-0.0152587890625,0.0626620054245,0.0620385073125,0.0590128563344,-0.538330078125,0.142822265625,-138.131103516,-0.000514446573758,0.00483301163141,-0.933976698242,0.357300859898,0.170332998037,0.179066136479,0.186373978853,-0.384521484375,0.677490234375,-1.62963867188,-0.0157470703125,0.0377197265625,0.977783203125,1,1,1,1,50,29,1,46.1975097656
